ref	Address	note
33907:141	Cihelna - autobusová zastávka, Cihelna, Hlavňovice, Klatovy
33907:142	Čermná-Puchverk - , 
33907:147	Jindřichovice - , 
33907:148	Střítež - sběrna mléka, Střítež, Kolinec, Klatovy
33907:149	Švihov - , 
33907:150	Švihov - , 
33907:151	Červené Poříčí - , 
33907:152	Třebýcina - autobusová zastávka, Třebýcina, Měčín, Klatovy
33907:154	Přetín - ZD váha, Přetín, Křenice, Klatovy
33907:155	Lhovice - , 
33907:156	Mezihoří - na vývěsní tabuli OÚ, Mezihoří, Klatovy
33907:157	Křenice - prodejna, Křenice, Klatovy
33907:161	Ježovy - na návsi, Ježovy, Klatovy
33907:163	Bíluky u čp. 39, Bíluky, Měčín, Klatovy
33907:164	Kbel - autobusová zastávka, Kbel, Plzeň-jih
33907:165	Malinec - na prodejně, Malinec, Kbel, Plzeň-jih
33907:166	Mečkov - náves - dočasně sejmuta, Mečkov, Kbel, Plzeň-jih
33907:167	Nová Ves - náves, Nová Ves, Kbel, Plzeň-jih
33907:168	Janovice n/Úhl. - Podsedky 25, Janovice nad Úhlavou, Klatovy
33907:170	Janovice n/Úhl.- autobus.nádr.-dočasně sejmuta, Janovice nad Úhlavou, Klatovy
33907:173	Týnec u čp. 29, Týnec, Klatovy
33907:174	Týnec u čp. 14, Týnec, Klatovy
33907:175	Spůle u čp. 60, Spůle, Janovice nad Úhlavou, Klatovy
33907:178	Lukavice, Lukavice, Strážov, Klatovy
33907:179	Dolní Lhota - , 
33907:181	Miletice - obecní váha, Miletice, Dlažov, Klatovy
33907:182	Úborsko - , 
33907:183	Loreta, Loreta, Týnec, Klatovy
33907:184	Veselí - nádražní budova, Veselí, Janovice nad Úhlavou, Klatovy
33907:185	Javor - autobusová zastávka, Javor, Klatovy
33907:187	Rohozno, Rohozno, Janovice nad Úhlavou, Klatovy
33907:188	Zahorčice - autobusová zastávka, Zahorčice, Strážov, Klatovy
33907:189	Viteň - hasičská zbrojnice, Viteň, Strážov, Klatovy
33907:19	Klatovy-, 
33907:190	Dubová Lhota, Dubová Lhota, Janovice nad Úhlavou, Klatovy
33907:195	Nýrsko-KEMP, Nýrsko, Klatovy
33907:196	Nýrsko - , 
33907:199	Nýrsko - , 
33907:200	Nýrsko - prodejna ZKD, Nýrsko, Klatovy
33907:201	Hadrava - , 
33907:202	Hodousice u čp.40, Hodousice, Nýrsko, Klatovy
33907:203	Bystřice n/Úhl. - prodejna, Bystřice nad Úhlavou, Nýrsko, Klatovy
33907:204	Uhlliště, Uhliště, Chudenín, Klatovy
33907:205	Petrovice nad Úhlavou, Petrovice nad Úhlavou, Janovice nad Úhlavou, Klatovy
33907:206	Skelná Huť u čp.50, Skelná Huť, Chudenín, Klatovy
33907:207	Chudenín - , 
33907:208	Dešenice - prodejna, Dešenice, Klatovy
33907:209	Děpoltice - , 
33907:21	Klatovy-, 
33907:211	Zelená Lhota - prodejna, Zelená Lhota, Nýrsko, Klatovy
33907:213	Hojsova Stráž - prodejna ZKD, Hojsova Stráž, Železná Ruda, Klatovy
33907:216	Špičák - autobusová zastávka, Špičák, Železná Ruda, Klatovy
33907:217	Špičák - autobus.zast.pod lanovkou, Špičák, Železná Ruda, Klatovy
33907:230	Hradešice - u COOP Hradešice čp.101, 
33907:232	Horažďovice- firma VKUS Ševčíkova 36, Horažďovice, Klatovy
33907:238	Horažďovice- , 
33907:240	Svaté Pole - , 
33907:241	Třebomyslice - prodejna, Třebomyslice, Horažďovice, Klatovy
33907:242	Horažďovická Lhota, Horažďovická Lhota, Horažďovice, Klatovy
33907:243	Velké Hydčice, Velké Hydčice, Klatovy
33907:244	Hejná - prodejna, Hejná, Klatovy
33907:245	Komušín - prodejna, Komušín, Horažďovice, Klatovy
33907:246	Slivonice, Slivonice, Velký Bor, Klatovy
33907:247	Babín, Babín, Horažďovice, Klatovy
33907:248	Karlovce, Karlovce, Kejnice, Klatovy
33907:249	Boubín - , 
33907:25	Štěpánovice - autobusová zastávka, Štěpánovice, Klatovy
33907:250	Veřechov, Veřechov, Horažďovice, Klatovy
33907:251	Týnec - hasičská zbrojnice, Týnec, Malý Bor, Klatovy
33907:252	Horažďovice - Předměstí, 
33907:257	Holkovice - prodejna, Holkovice, Chanovice, Klatovy
33907:258	Dobrotice - autobusová zastávka, Dobrotice, Chanovice, Klatovy
33907:259	Újezd u Chanovic - prodejna, Újezd u Chanovice, Klatovy
33907:26	Dehtín - hasičská zbrojnice, Dehtín, Klatovy
33907:262	Maňovice - OÚ, Maňovice, Klatovy
33907:264	Chanovice - , 
33907:265	Pačejov - prodejna, Pačejov, Klatovy
33907:267	Strážovice - OÚ, Strážovice, Pačejov, Klatovy
33907:268	Olšany-autobusová zastávka, Olšany, Klatovy
33907:269	Kvášňovice - prodejna, Kvášňovice, Klatovy
33907:270	Velenovy - , 
33907:272	Těchonice - autobusová zastávka, Těchonice, Nalžovské Hory, Klatovy
33907:273	Žďár - autobusová zastávka, Žďár, Nalžovské Hory, Klatovy
33907:275	Nehodiv - obecní váha, Nehodiv, Klatovy
33907:276	Štipoklasy - , 
33907:28	Točník, Točník, Klatovy
33907:281	Smrkovec - , 
33907:284	Letovy, Letovy, Nalžovské Hory, Klatovy
33907:285	Mířenice - hasičská zbrojnice, Miřenice, Nalžovské Hory, Klatovy
33907:286	Nalžovské Hory - , 
33907:30	Otín - obecní váha, Otín, Klatovy
33907:313	Sušice - Nábřeží J.Seitze, Sušice III, Sušice, Klatovy
33907:317	Františkova Ves - autobusová zastávka, Františkova Ves, Petrovice u Sušice, Klatovy
33907:319	Břetětice - , 
33907:322	Světlá u čp. 21, Světlá, Hartmanice, Klatovy
33907:325	Dobršín - prodejna, Dobršín, Klatovy
33907:326	Tedražice - autobusová zastávka, Tedražice, Hrádek, Klatovy
33907:327	Čejkovy - prodejna, Čejkovy, Hrádek, Klatovy
33907:328	Zbynice - autobusová zastávka, Zbynice, Hrádek, Klatovy
33907:33	Vrhaveč, autobusová zastávka, Vrhaveč, Klatovy
33907:332	Hrádek u Sušice - na prodejně SPAR, Hrádek, Klatovy
33907:333	Dlouhá Ves - , 
33907:336	Annín - kemp recepce, Annín, Dlouhá Ves, Klatovy
33907:337	Annín - na prodejně skla, Annín, Dlouhá Ves, Klatovy
33907:338	Nové Městečko - kemp, Nové Městečko, Dlouhá Ves, Klatovy
33907:343	Nahořánky - autobusová zastávka, Nahořánky, Strašín, Klatovy
33907:344	Strašín - Lazny autobusová zastávka, Strašín, Klatovy
33907:345	Lhota Pod Kůstrým - u silnice, Lhota pod Kůstrým, Nová Ves, Strakonice
33907:347	Albrechtice , Albrechtice, Sušice, Klatovy
33907:348	Záluží - autobusová zastávka, Záluží, Sušice, Klatovy
33907:356	Dražovice - autobusová zastávka, Dražovice, Klatovy
33907:359	Bukovník u čp. 22, Bukovník, Klatovy
33907:360	Podmokly - budova OÚ, Podmokly, Klatovy
33907:364	Šimanov u čp. 13, Šimanov, Žihobce, Klatovy
33907:372	Nezamyslice u Horažďovic - pošta, Nezamyslice, Klatovy
33907:377	Kašperské Hory - hotel Bílá Růže, Kašperské Hory, Klatovy
33907:379	Rejštejn - autobusová zastávka, Rejštejn, Klatovy
33907:380	Svojše - autobusová zastávka, Svojše, Rejštejn, Klatovy
33907:385	Rejštejn-Čeňkova Pila rekr.střed.Bystřina, Rejštejn, Klatovy
33907:387	Srní - autokemping Antýgl, Srní, Klatovy
33907:388	Filipova Huť - autobusová zastávka, Filipova Huť, Modrava, Klatovy
33907:389	Srní - prodejna, Srní, Klatovy
33907:39	Srbice - hasičská zbrojnice čp.15, Srbice, Mochtín, Klatovy
33907:390	Srní - Rokyta, Srní, Klatovy
33907:391	Lukoviště, Lukoviště, Kolinec, Klatovy
33907:40	Křištín u čp. 5, Křištín, Klatovy
33907:43	Těšetiny - autobusová zastávka, Těšetiny, Mochtín, Klatovy
33907:47	Hoštičky - autobusová zastávka, Hoštičky, Mochtín, Klatovy
33907:48	Březí - , 
33907:49	Lhůta - hasičská zbrojnice, Lhůta, Mochtín, Klatovy
33907:50	Kocourov - hasičská zbrojnice, Kocourov, Mochtín, Klatovy
33907:51	Bystré - budova bývalého OÚ, Bystré, Mochtín, Klatovy
33907:54	Mlýnské Struhadlo - hasičská zbrojnice, Mlýnské Struhadlo, Klatovy
33907:55	Měcholupy - hasičská zbrojnice, Měcholupy, Předslav, Klatovy
33907:56	Lučice - autobusová zastávka, Lučice, Chudenice, Klatovy
33907:58	Bezpravovice - hasičská zbrojnice, Bezpravovice, Chudenice, Klatovy
33907:6	Klatovy-, 
33907:61	Mlýnec - na návsi, Mlýnec, Poleň, Klatovy
33907:70	Makov - na hospodě, Makov, Předslav, Klatovy
33907:71	Běšiny - autobusová zastávka, Běšiny, Klatovy
33907:72	Tetětice - autobusová zastávka, Tetětice, Bezděkov, Klatovy
33907:73	Třebíšov - , 
33907:77	Němčice - hasičská zbrojnice, Němčice, Předslav, Klatovy
33907:80	Kvasetice - prodejna čp. 63, Kvasetice, Plánice, Klatovy
33907:81	Bližanovy - budova bývalého OÚ, Bližanovy, Plánice, Klatovy
33907:82	Lovčice - , 
33907:83	Pohoří - hasičská zbrojnice, Pohoří, Plánice, Klatovy
33907:86	Hnačov - hasičská zbrojnice, Hnačov, Klatovy
33907:87	Křížovice - budova OÚ, Křížovice, Plánice, Klatovy
33907:88	Skránčice - hasičská zbrojnice, Skránčice, Zavlekov, Klatovy
34407:1	Petrovice, prodejna, Petrovice, Újezd, Domažlice
34407:10	Bořice, prodejna, Bořice, Zahořany, Domažlice
34407:100	Přes, , 
34407:101	Holubeč, prodejna, Holubeč, Hostouň, Domažlice
34407:102	Oplotec, prodejna, Oplotec, Horšovský Týn, Domažlice
34407:103	Tasnovice, , 
34407:104	Štítary pohostinství, Štítary, Hostouň, Domažlice
34407:105	Hašov -  autobusová zastávka, Hašov, Horšovský Týn, Domažlice
34407:106	Rybník, , 
34407:107	Starý Kramolín, , 
34407:109	Újezd Sv.Kříže prodejna, Újezd Svatého Kříže, Bělá nad Radbuzou, Domažlice
34407:11	Sedlice, náves, Sedlice, Zahořany, Domažlice
34407:113	Poběžovice, směr Domažlice, POZEP, Poběžovice, Domažlice
34407:114	Poběžovice, nádraží, Poběžovice, Domažlice
34407:115	Zámělič, zastávka ČSAD, Zámělíč, Poběžovice, Domažlice
34407:116	Ohnišťovice,  náves, Ohnišťovice, Poběžovice, Domažlice
34407:117	Drahotín, u pohostinství, Drahotín, Domažlice
34407:118	Hora sv. Václava, , Hora Svatého Václava, Domažlice
34407:119	Hvožďany, na váze, Hvožďany, Domažlice
34407:12	Babylon , autokemping, Babylon, Domažlice
34407:120	Mnichov, prodejna, Mnichov, Domažlice
34407:121	Pivoň, prodejna, Pivoň, Mnichov, Domažlice
34407:122	Šitboř, prodejna, Šitboř, Poběžovice, Domažlice
34407:123	Vlkanov, , Vlkanov, Domažlice
34407:124	Otov, prodejna, Otov, Domažlice
34407:125	Sedlec, zastávka ČSAD, Sedlec, Poběžovice, Domažlice
34407:126	Šidlákov, čp. 38, Šidlákov, Hora Svatého Václava, Domažlice
34407:127	Vranov, Vranov, Mnichov, Domažlice
34407:129	Staňkov, Nádražní 117, Staňkov II, Staňkov, Domažlice
34407:13	Folmava, prodejna, Horní Folmava, Česká Kubice, Domažlice
34407:131	Staňkov, Na tržišti, Staňkov I, Staňkov, Domažlice
34407:133	Čermná, zast. ČSAD, Čermná, Domažlice
34407:135	Hlohová, prodejna, Hlohová, Domažlice
34407:136	Močerady, prodejna, Močerady, Domažlice
34407:140	Vránov, Vránov, Staňkov, Domažlice
34407:141	Ohučov, Ohučov, Staňkov, Domažlice
34407:142	Krchleby, Krchleby, Staňkov, Domažlice
34407:144	Mimov, Mimov, Osvračín, Domažlice
34407:145	Malý Malahov, Malý Malahov, Puclice, Domažlice
34407:146	Doubrava, Doubrava, Puclice, Domažlice
34407:147	Koloveč, obch. dům, Koloveč, Domažlice
34407:15	Tlumačov, prodejna, Tlumačov, Domažlice
34407:152	Zíchov, , 
34407:153	Kaničky, , 
34407:156	Všepadly, hasičská zbrojnice, Všepadly, Domažlice
34407:157	Kanice, náves - čekárna, Kanice, Domažlice
34407:16	Spáňov, prodejna, Spáňov, Domažlice
34407:160	Hradiště u Domažlic, Hradiště, Domažlice
34407:163	Dolní Kamenice, Dolní Kamenice, Holýšov, Domažlice
34407:164	Horní Kamenice, u prodejny, Horní Kamenice, Domažlice
34407:165	Kvíčovice, u prodejny, Kvíčovice, Domažlice
34407:167	Neuměř, prodejna, Neuměř, Domažlice
34407:168	Všekary, náves, Všekary, Domažlice
34407:169	Ćernovice, domov důchodců, Černovice, Domažlice
34407:172	Čečovice, obecní úřad, Čečovice, Domažlice
34407:173	Bukovec u H.Týna, Obecní úřad, Bukovec, Domažlice
34407:177	Horšovský Týn, Smetanovo nám., Velké Předměstí, Horšovský Týn, Domažlice
34407:178	Horšovský Týn, nám. Republiky, Město, Horšovský Týn, Domažlice
34407:179	Horšovský Týn, ul .Dr. E. Beneše, Malé Předměstí, Horšovský Týn, Domažlice
34407:18	Nevolice, prodejna, Nevolice, Domažlice
34407:180	Semošice, prodejna, Semošice, Horšovský Týn, Domažlice
34407:181	Horšov, prodejna, Horšovský Týn, Domažlice
34407:184	Srby, prodejna, Srby, Domažlice
34407:187	Horní Metelsko, náves, Horní Metelsko, Horšovský Týn, Domažlice
34407:188	Dolní Metelsko, prodejna, Dolní Metelsko, Horšovský Týn, Domažlice
34407:19	Stráž, , Stráž, Domažlice
34407:190	Borovice, náves, Borovice, Horšovský Týn, Domažlice
34407:197	Mašovice, čekárna, Mašovice, Meclov, Domažlice
34407:198	Březí, stánek, Březí, Meclov, Domažlice
34407:2	Havlovice, U kuželníku, Havlovice, Domažlice
34407:20	Pasečnice, prodejna, Stará Pasečnice, Domažlice
34407:200	Třebnice, hostinec, Třebnice, Meclov, Domažlice
34407:201	Nahošice, čekárna, Nahošice, Blížejov, Domažlice
34407:203	Němčice, čekárna, Němčice, Domažlice
34407:204	Přívozec, čekárna, Přívozec, Blížejov, Domažlice
34407:205	Malonice, čekárna, Malonice, Blížejov, Domažlice
34407:206	Lštění, čekárna, Lštění, Blížejov, Domažlice
34407:208	Chotiměř, hasičárna, Chotiměř, Blížejov, Domažlice
34407:209	Lštění, Hvízdalka, Lštění, Blížejov, Domažlice
34407:21	Pelechy, prodejna, Pelechy, Domažlice
34407:211	Vidice, prodejna, Vidice, Domažlice
34407:214	Buková, čekárna, Buková, Mezholezy, Domažlice
34407:215	Velký Malahov, OÚ, Velký Malahov, Domažlice
34407:217	Ostromeč, prodejna, Ostromeč, Velký Malahov, Domažlice
34407:218	Semněvice, Semněvice, Domažlice
34407:219	Pocinovice, prodejna, Pocinovice, Semněvice, Domažlice
34407:220	Mířkov, budova pošty, Mířkov, Domažlice
34407:23	Spálenec, prodejna, Nový Spálenec, Česká Kubice, Domažlice
34407:26	Černá Řeka, , Černá Řeka, Klenčí pod Čerchovem, Domažlice
34407:27	Díly, budova OÚ, Díly, Domažlice
34407:28	Nový Kramolín, před prodejnou, Nový Kramolín, Domažlice
34407:29	Pařezov, , Nový Pařezov, Domažlice
34407:3	Luženičky, autobusová zastávka, Luženičky, Domažlice
34407:31	Výhledy, u hájenky, Capartice, Klenčí pod Čerchovem, Domažlice
34407:32	Pec pod Čerchovem, v parku, Pec, Domažlice
34407:34	Starý Klíčov, prodejna, Starý Klíčov, Mrákov, Domažlice
34407:36	Chodov u OÚ, Chodov, Domažlice
34407:4	Újezd, prodejna, Újezd, Domažlice
34407:41	Domažlice,  Žižkova ul. - Hubrovna, Bezděkovské Předměstí, Domažlice
34407:42	Domažlice, Žižkova ul. - prodejna, Bezděkovské Předměstí, Domažlice
34407:45	Domažlice, Hájkova 475, Bezděkovské Předměstí, Domažlice
34407:49	Domažlice, Kaufland, Týnské Předměstí, Domažlice
34407:5	Luženice, autobusová zastávka, Luženice, Luženičky, Domažlice
34407:51	Domažlice, Benešova 170, Týnské Předměstí, Domažlice
34407:53	Domažlice, Haltravská ul. u prodejny, Týnské Předměstí, Domažlice
34407:54	Domažlice, Baldovská ul., Týnské Předměstí, Domažlice
34407:55	Domažlice, nám. Svobody, Dolejší Předměstí, Domažlice
34407:57	Kdyně, Markova ul., prodejna, Kdyně, Domažlice
34407:58	Kdyně, Americká 167, Kdyně, Domažlice
34407:6	Radonice, č. 41, Radonice, Milavče, Domažlice
34407:60	Kdyně, Vodní 123, Kdyně, Domažlice
34407:66	Chodská Lhota, prodejna, Chodská Lhota, Domažlice
34407:68	Starec, prodejna, Starec, Kdyně, Domažlice
34407:69	Němčice, , 
34407:7	Božkovy, U kapličky, Božkovy, Milavče, Domažlice
34407:70	Kdyně, Hájovna - restaurace, Kdyně, Domažlice
34407:71	Stanětice, prodejna, Stanětice, Zahořany, Domažlice
34407:73	Podzámčí, hasičská zbrojnice, Podzámčí, Kdyně, Domažlice
34407:74	Rudoltice, , 
34407:75	Černíkov, , 
34407:76	Mezholezy, , 
34407:77	Brůdek, autobusová zastávka, Brůdek, Všeruby, Domažlice
34407:78	Hájek, vrata vedle zast. ČSAD, Hájek, Všeruby, Domažlice
34407:8	Ždánov, autobusová zastávka, Ždánov, Domažlice
34407:80	Hyršov, , 
34407:81	Vítovky, autobusová zastávka, Hluboká, Kdyně, Domažlice
34407:82	Dobříkov, prodejna, Dobříkov, Ústí nad Orlicí
34407:83	Smržovice, váha, Smržovice, Kdyně, Domažlice
34407:86	Nová Ves, Hasičská zbrojnice, Nová Ves, Domažlice
34407:87	Kdyně, Na Koželužně 632, Kdyně, Domažlice
34407:89	Vílov, , Vílov, Černíkov, Klatovy
34407:9	Chrastavice, prodejna, Chrastavice, Domažlice
34407:90	Chodská Lhota u zastávky ČSAD, Chodská Lhota, Domažlice
34407:92	Loučim Obecní úřad, Loučim, Domažlice
34407:97	Bělá n/Rad., Dlouhá ul., Bělá nad Radbuzou, Domažlice
34407:98	Svržno - zastávka, Svržno, Hostouň, Domažlice
34407:99	Mělnice, prodejna, Mělnice, Hostouň, Domažlice
34707:1	Tachov, 1.máje, Tachov, Tachov
34707:10	Tachov, Závěrečná, Tachov, Tachov
34707:100	Štokov, Štokov, Chodský Újezd, Tachov
34707:101	Neblažov, Neblažov, Chodský Újezd, Tachov
34707:102	Dolní Jadruž, Dolní Jadruž, Chodský Újezd, Tachov
34707:103	Horní Jadruž, Horní Jadruž, Chodský Újezd, Tachov
34707:104	Chodová Planá, Sídliště Lučina, Chodová Planá, Tachov
34707:11	Tachov, Stadtrodská, Tachov, Tachov
34707:112	Třemešné pod Přimdou pošta, Třemešné, Tachov
34707:113	Stříbro, Mírová, Stříbro, Tachov
34707:114	Stříbro, Vodičkova, Stříbro, Tachov
34707:115	Stříbro, Nádražní - uhelné sklady, Stříbro, Tachov
34707:116	Stříbro, Benešova, Stříbro, Tachov
34707:117	Únehle, Únehle, Tachov
34707:118	Erpužice, Erpužice, Tachov
34707:119	Malovice, Malovice, Erpužice, Tachov
34707:12	Tachov, U Penzionu, Tachov, Tachov
34707:121	Sviňomazy, Sviňomazy, Trpísty, Tachov
34707:123	Kšice, Kšice, Tachov
34707:124	Svinná, Svinná, Vranov, Tachov
34707:125	Vranov, Vranov, Tachov
34707:126	Sytno, Sytno, Tachov
34707:127	Lhota u Stříbra, Lhota u Stříbra, Stříbro, Tachov
34707:128	Ostrov u Stříbra, Ostrov u Stříbra, Kostelec, Tachov
34707:129	Zhoř, Zhoř, Tachov
34707:13	Tachov, Bělojarská, policie, Tachov, Tachov
34707:130	Skapce, Skapce, Tachov
34707:131	Zálezly, Zálezly, Skapce, Tachov
34707:132	Nedražice, Nedražice, Kostelec, Tachov
34707:133	Telice, Telice, Prostiboř, Tachov
34707:134	Těchlovice, Těchlovice, Stříbro, Tachov
34707:135	Slavice, Slavice, Horní Kozolupy, Tachov
34707:136	Záchlumí, Záchlumí, Tachov
34707:137	Otročín, Otročín, Stříbro, Tachov
34707:138	Víchov, Víchov, Černošín, Tachov
34707:139	Olbramov, Olbramov, Tachov
34707:14	Tachov, Plánská, Tachov, Tachov
34707:141	Nynkov, Nynkov, Svojšín, Tachov
34707:142	Řebří, Řebří, Svojšín, Tachov
34707:143	Vrbice, Vrbice u Stříbra, Kladruby, Tachov
34707:144	Láz, Láz, Kladruby, Tachov
34707:145	Brod, Brod u Stříbra, Kladruby, Tachov
34707:146	Benešovice, Benešovice, Tachov
34707:147	Prostiboř, Prostiboř, Tachov
34707:148	Milevo, Milevo, Kladruby, Tachov
34707:15	Tachov, T.G.Masaryka. Delta, Tachov, Tachov
34707:150	Milíkov, Milíkov, Stříbro, Tachov
34707:152	Kladruby u Stříbra, náměstí, Kladruby, Tachov
34707:153	Kladruby u Stříbra, Kostelní ulice, Kladruby, Tachov
34707:155	Kladruby u Stříbra, klášter, Kladruby, Tachov
34707:156	Sulislav, Sulislav, Tachov
34707:157	Tuněchody, Tuněchody, Chrudim
34707:159	Okrouhlé Hradiště, Okrouhlé Hradiště, Konstantinovy Lázně, Tachov
34707:16	Studánka, prodejna, Studánka, Tachov
34707:160	Kokašice, Kokašice, Tachov
34707:162	Strahov, Strahov, Horní Kozolupy, Tachov
34707:163	Horní Kozolupy, Horní Kozolupy, Tachov
34707:164	Konstantinovy Lázně-chatový tábor, sezonní, Konstantinovy Lázně, Tachov
34707:167	Řešín, Řešín, Bezdružice, Tachov
34707:168	Vysoké Jamné, Vysoké Jamné, Lestkov, Tachov
34707:169	Domaslav, Domaslav, Lestkov, Tachov
34707:17	Písařova Vesce, náves, Písařova Vesce, Lesná, Tachov
34707:171	Stříbro, Gagarinova, Stříbro, Tachov
34707:18	Lesná, obecní úřad, Lesná, Tachov
34707:181	Mariánské Lázně, Městská nemocnice, Mariánské Lázně, Cheb
34707:186	Mariánské Lázně, Ibsenova, zastávka trolejbusu, Mariánské Lázně, Cheb
34707:187	Mariánské Lázně, Centrální lázně, Goethovo náměstí, Mariánské Lázně, Cheb
34707:19	Světce, u mostu, Světce, Tachov
34707:191	Skláře, autobusová zastávka, Chotěnov-Skláře, Mariánské Lázně, Cheb
34707:192	Trstěnice, autobusová zastávka, Trstěnice, Cheb
34707:194	Chodovská Huť, autobusová zastávka, Chodovská Huť, Tři Sekery, Cheb
34707:195	Tři Sekery, prodejna Jednota, Tři Sekery, Cheb
34707:196	Krásné, autobusová zastávka, Krásné, Tři Sekery, Cheb
34707:2	Tachov, Hornická, Tachov, Tachov
34707:20	Dlouhý Újezd, samoobsluha, Dlouhý Újezd, Tachov
34707:200	Poutnov, obchod, Poutnov, Teplá, Cheb
34707:201	Ovesné Kladruby, před budovou OÚ, Ovesné Kladruby, Cheb
34707:202	Vlkovice, budova OÚ, Vlkovice, Cheb
34707:204	Stará Voda, náves, Stará Voda, Cheb
34707:205	Stará Voda, obchod - nádraží, Stará Voda, Cheb
34707:206	Valy, autobusová zastávka, Valy, Cheb
34707:207	Zádub - Závišín, autobusová zastávka, Zádub-Závišín, Cheb
34707:209	Velká Hleďsebe, Pohraniční stráže, TABÁK, Velká Hleďsebe, Cheb
34707:21	Velký Rapotín, náves, Velký Rapotín, Tachov
34707:212	Lázně Kynžvart, Zámek, Lázně Kynžvart, Cheb
34707:214	Beranov, autobusová zastávka, Beranov, Teplá, Cheb
34707:215	Klášter, u hlavní brány, Klášter, Teplá, Cheb
34707:216	Křepkovice, autobusová zastávka, Křepkovice, Teplá, Cheb
34707:217	Mrázov, u bazaru, Mrázov, Teplá, Cheb
34707:22	Oldřichov, obchod, Oldřichov, Tachov
34707:220	Teplá, papírnictví, Teplá, Cheb
34707:23	Lom u Tachova, náves, Lom u Tachova, Tachov
34707:24	Biletín, Bíletín, Tachov
34707:25	Branka, autobusová zastávka, Branka, Halže, Tachov
34707:26	Obora, autobusová zastávka, Obora, Tachov
34707:27	Svobodka, autobusová zastávka, Svobodka, Halže, Tachov
34707:28	Ctiboř, obchod, Ctiboř, Tachov
34707:29	Mýto, Mýto, Tachov
34707:3	Tachov, T.G.Masaryka, poliklinika, Tachov, Tachov
34707:30	Milíře, obecní úřad, Milíře, Tachov
34707:31	Jemnice, náves, Jemnice, Tisová, Tachov
34707:32	Trnová, obchod, Trnová, Tisová, Tachov
34707:33	Částkov, obecní úřad, Částkov, Tachov
34707:34	Nové Sedliště,hasičská zbrojnice, Nové Sedliště, Staré Sedliště, Tachov
34707:35	Labuť, náves, Labuť, Staré Sedliště, Tachov
34707:38	Maršovy Chody, náves, Maršovy Chody, Částkov, Tachov
34707:39	Tisová, autobusová zastávka, Tisová, Tachov
34707:4	Tachov, P.Velikého - dočasně sejmuta, Tachov, Tachov
34707:40	Tachov, Panenská, domov důchodců, Tachov, Tachov
34707:41	Bor u Tachova, autobusové nádraží, Bor, Tachov
34707:42	Újezd pod Přimdou, autobusová zastávka, Újezd pod Přimdou, Přimda, Tachov
34707:43	Skviřín, náves, Skviřín, Bor, Tachov
34707:44	Holostřevy, náves, Holostřevy, Bor, Tachov
34707:45	Malovice, náves, Malovice, Bor, Tachov
34707:46	Kurojedy, mezi řadovkama, Kurojedy, Bor, Tachov
34707:47	Ostrov, náves, Ostrov, Bor, Tachov
34707:48	Čečkovice, zastávka, Čečkovice, Bor, Tachov
34707:49	Boječnice, za zastávkou, Boječnice, Bor, Tachov
34707:5	Tachov, Nám.Republiky, Tachov, Tachov
34707:50	Borovany, u zastávky, Borovany, Bor, Tachov
34707:51	Kosov, u zastávky, Kosov, Bor, Tachov
34707:52	Vysočany, bývalá zastávka ČSAD, Vysočany, Bor, Tachov
34707:53	Mlýnec, u zastávky, Mlýnec, Přimda, Tachov
34707:54	Vysočany, Vysočany, Bor, Tachov
34707:55	Stráž u Tachova, obchod, Stráž, Tachov
34707:56	Souměř, náves, Souměř, Stráž, Tachov
34707:57	Borek, náves, Borek, Stráž, Tachov
34707:58	Sycherák, pláž, Borek, Stráž, Tachov
34707:59	Sycherák, autocamping, Borek, Stráž, Tachov
34707:6	Tachov, Americká, samoobsluha, Tachov, Tachov
34707:60	Dehetná, náves, Dehetná, Stráž, Tachov
34707:61	Bernartice, obchod, Bernartice, Stráž, Tachov
34707:62	Strachovice, náves, Strachovice, Stráž, Tachov
34707:63	Olešná, obchod, Olešná, Stráž, Tachov
34707:64	Bonětice, náves, Bonětice, Stráž, Tachov
34707:65	Velké Dvorce, obchod, Velké Dvorce, Přimda, Tachov
34707:66	Kurojedy, domov důchodců, Kurojedy, Bor, Tachov
34707:67	Darmyšl, Darmyšl, Staré Sedlo, Tachov
34707:68	Racov, Racov, Staré Sedlo, Tachov
34707:7	Tachov, Hálkova, Tachov, Tachov
34707:70	Kundratice, Kundratice, Přimda, Tachov
34707:71	Malé Dvorce, autobusová zastávka, Malé Dvorce, Přimda, Tachov
34707:72	Jadruž, náves, Jadruž, Stráž, Tachov
34707:73	Přimda, u obchodu, Přimda, Tachov
34707:74	Nová Ves, náves, Nová Ves, Třemešné, Tachov
34707:75	Třískolupy, Třískolupy, Přimda, Tachov
34707:76	Dubec, zastávka, Dubec, Třemešné, Tachov
34707:77	Pavlíkov, zastávka, Pavlíkov, Třemešné, Tachov
34707:78	Rájov, Rájov, Přimda, Tachov
34707:8	Tachov, Zahradní, Tachov, Tachov
34707:81	Hošťka, Hošťka, Tachov
34707:82	Žebráky, Žebráky, Hošťka, Tachov
34707:83	Třemešné pod Přimdou, obchod, Třemešné, Tachov
34707:84	Vysočany, budova pošty, Vysočany, Bor, Tachov
34707:86	Planá u ML, budova ČD, Planá, Tachov
34707:87	Karlín, autobusová zastávka, Planá, Tachov
34707:89	Brod nad Tichou, u parku, Brod nad Tichou, Tachov
34707:9	Tachov, Žižkova, Tachov, Tachov
