ref	Address	note
72572:35	U Haldy 1586/66, Hrabůvka Hrabůvka, Ostrava-město	stojan naproti domu
72572:412	Životice, Padlých Hrdinů u čp.144/47- Životice, Havířov, Karviná	na stojanu
72572:427	Hlavní třída 195/62, Havířov-Město Město, Havířov, Karviná	na stojanu
72572:45	Horymírova 1265/99, Zábřeh Zábřeh, Ostrava-město	stojan naproti ZŠ
72572:47	Výškovická 2607/66, Zábřeh Zábřeh, Ostrava-město	stojan u přechodu
72572:509	Studénka, Nová Horka, napr.čp.14 Nová Horka, Studénka, Nový Jičín	stojan
72572:523	Bílovec,Bravinné u č95-aut.zast.Nové Dvory Bravinné, Bílovec, Nový Jičín	stojan
72572:529	Bravantice 41 - aut. zastávka Bravantice, Nový Jičín	stojan
72572:56	Fr. Formana-parkoviště naproti ZŠ , Dubina Dubina, Ostrava-město	268/45
72572:57	křiž.V.Jiříkovského 150/5 a E.Podg.,Dubina Dubina, Ostrava-město	stojan
72572:58	Horní 266/73,za Č.poj. u parkoviště,Dubina Dubina, Ostrava-město	stojan
72572:600	Přední Padělky 3093/1,Martinov Martinov, Ostrava-město	stojan na zast.MHD
72572:603	26.dubna,napr. 516/145 Plesná Plesná, Ostrava-město	na zděné zast.MHD
72572:604	Mexiko,Společná,u č.66,Vřesina u Bíl. Vřesina, Ostrava-město	stojan
72572:61	Dr.Martínka 1415/51-Savarin,Hrabůvka Hrabůvka, Ostrava-město	stojan u PNS
72572:72	Zimmlerova 2891/31, Zábřeh Zábřeh, Ostrava-město	stojan u cesty
72572:73	Jugoslávská-potraviny Albert, Zábřeh Zábřeh, Ostrava-město	stojan
72572:78	Výškovická 608/163, stojanu nák.stř.Odra,Výškovice	Výškovice, Ostrava-město
72572:79	29.dubna 243/1- naproti trafiky,Výškovice Výškovice, Ostrava-město	stojan
72572:80	Patrice Lumumby 2234/74, Zábřeh Zábřeh, Ostrava-město	stojan napr.domu
72572:83	Kpt.Vajdy stojanu u parkov.u hotelu Vista, Zábřeh	Zábřeh, Ostrava-město
72572:85	Provaznická 1096/102,Hrabůvka Hrabůvka, Ostrava-město	stojan naproti domu
72572:91	Vřesinská,napr.čp.34-smyčka,Poruba Poruba, Ostrava-město	stojan u zast
72572:92	17.listopadu,u čp.1790/5 - FNsP, Poruba Poruba, Ostrava-město	stojan
73807:1	napr.bytovky Husova 430,FM-Frýdek Frýdek-Místek, Frýdek-Místek	na stojanu
73807:113	vedle čp.85-OÚ,Malenovice Malenovice, Frýdek-Místek	na zdi konzumu bez čp.
73807:114	Na Konečné, u čp.206, Malenovice Malenovice, Frýdek-Místek	stojan u plotu
73807:127	Peč.dům,Pionýrů,u č.899,Frýdlant n.O Frýdlant nad Ostravicí, Frýdek-Místek	stoj.u cesty
73807:128	naproti Nák.stř.čp.362,Ostravice Ostravice, Frýdek-Místek	na Tabáku bez čp
73807:131	U modlitebny, Kúty, u čp.58, Frýdlant n.O. Frýdlant nad Ostravicí, Frýdek-Místek	stojan
73807:139	U Besk.Reh.Centra,u čp.584, Čeladná Čeladná, Frýdek-Místek	na sloupu
73807:14	ČSA 1944,FM-Místek Místek, Frýdek-Místek, Frýdek-Místek	stojan u cesty
73807:140	U zámečku, za čp.371, Čeladná Čeladná, Frýdek-Místek	stojan na zast.BUS
